PeakID (cmd=annotatePeaks.pl 4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5541	chr9	34005627	34005676	+	28	NA	intron (NM_001282529, intron 1 of 24)	L1M7|LINE|L1	43296	NM_001282529	55833	Hs.493739	NM_018449	ENSG00000137073	UBAP2	UBAP-2	ubiquitin associated protein 2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4158	chr3	169684595	169684648	+	28	NA	exon (NM_003262, exon 1 of 8)	promoter-TSS (NM_003262)	41	NM_003262	7095	Hs.744859	NM_003262	ENSG00000008952	SEC62	Dtrp1|HTP1|TLOC1|TP-1	SEC62 homolog, preprotein translocation factor	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3822	chr22	30064402	30064451	+	28	NA	exon (NM_181829, exon 9 of 16)	exon (NM_181829, exon 9 of 16)	-51918	NM_182527	164633	Hs.643608	NM_182527	ENSG00000100314	CABP7	CALN2	calcium binding protein 7	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4670	chr6	32143757	32143880	+	28	NA	5' UTR (NM_006411, exon 1 of 7)	promoter-TSS (NM_006411)	98	NM_006411	10554	Hs.409230	NM_006411	ENSG00000204310	AGPAT1	1-AGPAT1|G15|LPAAT-alpha|LPAATA	1-acylglycerol-3-phosphate O-acyltransferase 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3366	chr20	3748333	3748390	+	28	NA	5' UTR (NM_001258430, exon 1 of 6)	promoter-TSS (NM_001258430)	91	NM_001258430	54976	Hs.274422	NM_017874	ENSG00000101220	C20orf27	-	chromosome 20 open reading frame 27	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5850	chr9	130860790	130860839	+	28	NA	5' UTR (NM_052901, exon 1 of 10)	promoter-TSS (NM_052901)	53	NM_052901	114789	Hs.5476	NM_052901	ENSG00000148339	SLC25A25	MCSC|PCSCL|SCAMC-2	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5927	chr9	137734672	137734798	+	28	NA	3' UTR (NM_001278074, exon 66 of 66)	3' UTR (NM_001278074, exon 66 of 66)	6480	NR_039691	100616333		NR_039691	ENSG00000264744	MIR3689C	-	microRNA 3689c	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5320	chr8	74858937	74858986	+	28	NA	exon (NM_001204860, exon 5 of 5)	exon (NM_001204860, exon 5 of 5)	25182	NM_001204861	6921	Hs.533437	NM_005648	ENSG00000154582	TCEB1	SIII|eloC	transcription elongation factor B (SIII), polypeptide 1 (15kDa, elongin C)	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5035	chr7	73122929	73122978	+	28	NA	exon (NM_001165903, exon 3 of 10)	exon (NM_001165903, exon 3 of 10)	-2694	NR_036247	100422948		NR_036247	ENSG00000265724	MIR4284	mir-4284	microRNA 4284	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_538	chr1	218499291	218499340	+	28	NA	intron (NM_016052, intron 4 of 4)	HAL1|LINE|L1	-19361	NM_003238	7042	Hs.133379	NM_003238	ENSG00000092969	TGFB2	LDS4|TGF-beta2	transforming growth factor beta 2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3897	chr3	160102158	160102207	+	28	NA	intron (NM_001190241, intron 2 of 20)	promoter-TSS (NM_001190242)	-628	NM_001190242	57560	Hs.478095	NM_020800	ENSG00000068885	IFT80	ATD2|SRTD2|WDR56	intraflagellar transport 80	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5294	chr7	77256075	77256124	+	28	NA	exon (NM_001131008, exon 13 of 18)	exon (NM_001131008, exon 13 of 18)	-69644	NM_198467	222194	Hs.72451	NM_198467	ENSG00000187257	RSBN1L	-	round spermatid basic protein 1-like	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_954	chr11	46672942	46672991	+	28	NA	intron (NM_001205119, intron 6 of 17)	L2c|LINE|L2	34140	NM_001205121	9776	Hs.127403	NM_014741	ENSG00000175224	ATG13	KIAA0652|PARATARG8	autophagy related 13	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3475	chr2	217002817	217002886	+	28	NA	exon (NM_021141, exon 12 of 21)	exon (NM_021141, exon 12 of 21)	28831	NM_021141	7520	Hs.388739	NM_021141	ENSG00000079246	XRCC5	KARP-1|KARP1|KU80|KUB2|Ku86|NFIV	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4640	chr6	28891676	28891762	+	28	NA	5' UTR (NM_006510, exon 1 of 8).4	promoter-TSS (NM_006510).6	49	NM_006510	5987	Hs.440382	NM_006510	ENSG00000204713	TRIM27	RFP|RNF76	tripartite motif containing 27	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4616	chr6	27763624	27763677	+	28	NA	Intergenic--5534	tRNA-Gln-CAA|tRNA|tRNA	12059	NM_003519	8340	Hs.137594	NM_003519	ENSG00000185130	HIST1H2BL	H2B/c|H2BFC|dJ97D16.4	histone cluster 1, H2bl	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_362	chr1	144520947	144520996	+	28	NA	intron (NM_001278267, intron 52 of 130)	CpG	91748	NR_003242	767846	Hs.657186	NR_003242	ENSG00000270392	PFN1P2	C1orf152|COAS3	profilin 1 pseudogene 2	pseudo
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3607	chr22	39130825	39130874	+	28	NA	3' UTR (NM_001199579, exon 18 of 18)	3' UTR (NM_001199579, exon 18 of 18)	20618	NM_001199580	25777	Hs.517622	NM_015374	ENSG00000100242	SUN2	UNC84B	Sad1 and UNC84 domain containing 2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5852	chr9	131016516	131016565	+	28	NA	3' UTR (NM_001288738, exon 22 of 22)	3' UTR (NM_001288738, exon 22 of 22)	-9231	NR_036110	100422893		NR_036110		MIR3154	mir-3154	microRNA 3154	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2557	chr17	46048499	46048549	+	28	NA	intron (NM_001278198, intron 1 of 12)	CpG	202	NM_001278216	80279	Hs.20157	NM_025197	ENSG00000108465	CDK5RAP3	C53|HSF-27|IC53|LZAP|MST016|OK/SW-cl.114|PP1553	CDK5 regulatory subunit associated protein 3	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_728	chr10	80869453	80869502	+	28	NA	intron (NM_020338, intron 1 of 24)	MIRb|SINE|MIR	40685	NM_020338	57178	Hs.193118	NM_020338	ENSG00000108175	ZMIZ1	MIZ|RAI17|TRAFIP10|ZIMP10|hZIMP10	zinc finger, MIZ-type containing 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_839	chr10	128768973	128769022	+	28	NA	exon (NM_001380, exon 2 of 52)	exon (NM_001380, exon 2 of 52)	175019	NM_001380	1793	Hs.159195	NM_001380	ENSG00000150760	DOCK1	DOCK180|ced5	dedicator of cytokinesis 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3401	chr20	33533853	33533902	+	28	NA	exon (NM_000178, exon 3 of 13)	exon (NM_000178, exon 3 of 13)	9724	NM_000178	2937	Hs.82327	NM_000178	ENSG00000100983	GSS	GSHS|HEL-S-64p|HEL-S-88n	glutathione synthetase	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4433	chr5	136314407	136314456	+	28	NA	exon (NM_004598, exon 11 of 11)	exon (NM_004598, exon 11 of 11)	520587	NM_004598	6695	Hs.596136	NM_004598	ENSG00000152377	SPOCK1	SPOCK|TESTICAN|TIC1	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2261	chr16	67116115	67116164	+	28	NA	exon (NM_001755, exon 5 of 6)	exon (NM_001755, exon 5 of 6)	-27776	NM_025187	80262	Hs.513666	NM_025187	ENSG00000125149	C16orf70	C16orf6|LIN10|lin-10	chromosome 16 open reading frame 70	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3525	chr2	237478469	237478518	+	28	NA	5' UTR (NM_020311, exon 1 of 2)	5' UTR (NM_020311, exon 1 of 2)	113	NM_020311	57007	Hs.471751	NM_020311	ENSG00000144476	ACKR3	CMKOR1|CXC-R7|CXCR-7|CXCR7|GPR159|RDC-1|RDC1	atypical chemokine receptor 3	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5714	chr9	21004737	21004786	+	28	NA	Intergenic--7887	MLT1A0-int|LTR|ERVL-MaLR	26874	NM_001010915	401494	Hs.716678	NM_001010915		HACD4	PTPLAD2	3-hydroxyacyl-CoA dehydratase 4	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1161	chr11	105880515	105880564	+	28	NA	exon (NM_032424, exon 3 of 3)	exon (NM_032424, exon 3 of 3)	12415	NM_032424	84437	Hs.266782	NM_032424	ENSG00000170903	MSANTD4	KIAA1826	Myb/SANT-like DNA-binding domain containing 4 with coiled-coils	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4838	chr6	7869534	7869583	+	28	NA	intron (NM_001718, intron 4 of 6)	intron (NM_001718, intron 4 of 6)	40752	NM_001145549	81567	Hs.150837	NM_022085	ENSG00000239264	TXNDC5	ENDOPDI|ERP46|HCC-2|HCC2|PDIA15|STRF8|UNQ364	thioredoxin domain containing 5 (endoplasmic reticulum)	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3550	chr20	2845960	2846009	+	28	NA	intron (NM_002836, intron 5 of 27)	intron (NM_002836, intron 5 of 27)	1143	NM_002836	5786	Hs.269577	NM_002836	ENSG00000132670	PTPRA	HEPTP|HLPR|HPTPA|HPTPalpha|LRP|PTPA|PTPRL2|R-PTP-alpha|RPTPA	protein tyrosine phosphatase, receptor type, A	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_6012	chrX	44732445	44732505	+	28	NA	5' UTR (NM_001291416, exon 1 of 29)	promoter-TSS (NR_111960)	54	NR_111960	7403	Hs.522616	NM_021140	ENSG00000147050	KDM6A	KABUK2|UTX|bA386N14.2	lysine (K)-specific demethylase 6A	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2880	chr19	12903786	12903848	+	28	NA	3' UTR (NM_002229, exon 1 of 1)	3' UTR (NM_002229, exon 1 of 1)	1507	NM_002229	3726	Hs.25292	NM_002229	ENSG00000171223	JUNB	AP-1	jun B proto-oncogene	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1590	chr12	133707201	133707250	+	28	NA	5' UTR (NM_015394, exon 1 of 5)	promoter-TSS (NM_015394)	11	NM_015394	7556	Hs.573983	NM_015394	ENSG00000256223	ZNF10	KOX1	zinc finger protein 10	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_5387	chr8	116523733	116523782	+	28	NA	intron (NM_001282902, intron 4 of 5)	intron (NM_001282902, intron 4 of 5)	156482	NM_001282902	7227	Hs.657018	NM_014112	ENSG00000104447	TRPS1	GC79|LGCR	trichorhinophalangeal syndrome I	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3290	chr2	203764299	203764348	+	28	NA	exon (NM_018256, exon 4 of 13)	exon (NM_018256, exon 4 of 13)	-12618	NM_024744	79800	Hs.444982	NM_024744	ENSG00000138380	CARF	ALS2CR8|NYD-SP24	calcium responsive transcription factor	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_10	chr1	1244021	1244116	+	28	NA	exon (NM_153339, exon 1 of 8)	promoter-TSS (NM_030649)	74	NM_153339	126789	Hs.400659	NM_153339	ENSG00000169972	PUSL1	-	pseudouridylate synthase-like 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_460	chr1	179006002	179006051	+	28	NA	intron (NM_014864, intron 1 of 7)	intron (NM_014864, intron 1 of 7)	10952	NM_014864	9917	Hs.5737	NM_014864	ENSG00000116199	FAM20B	gxk1	family with sequence similarity 20, member B	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2920	chr19	58838246	58838296	+	28	NA	Intergenic	promoter-TSS (NM_181846)	-114	NM_181846	342945	Hs.388162	NM_181846	ENSG00000182318	ZSCAN22	HKR2|ZNF50	zinc finger and SCAN domain containing 22	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2657	chr17	77751990	77752039	+	28	NA	5' UTR (NM_032647, exon 1 of 4)	promoter-TSS (NM_032647)	37	NM_005189	84733	Hs.368410	NM_005189	ENSG00000173894	CBX2	CDCA6|M33|SRXY5	chromobox homolog 2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4756	chr6	75816099	75816154	+	28	NA	intron (NM_080645, intron 38 of 50)	intron (NM_080645, intron 38 of 50)	99497	NM_004370	1303	Hs.101302	NM_004370	ENSG00000111799	COL12A1	BA209D8.1|COL12A1L|DJ234P15.1	collagen, type XII, alpha 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3781	chr21	45739282	45739331	+	28	NA	intron (NM_001002021, intron 14 of 24)	intron (NM_001002021, intron 14 of 24)	18915	NM_001271442	755	Hs.517331	NM_004928	ENSG00000160226	C21orf2	LRRC76|YF5/A2	chromosome 21 open reading frame 2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_464	chr1	179271844	179271893	+	28	NA	5' UTR (NM_001252511, exon 2 of 15)	exon (NM_003101, exon 2 of 16)	9019	NM_001252512	6646	Hs.445588	NM_003101	ENSG00000057252	SOAT1	ACACT|ACAT|ACAT-1|ACAT1|SOAT|STAT	sterol O-acyltransferase 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_2453	chr17	42263990	42264039	+	28	NA	non-coding (NR_049730, exon 1 of 3)	promoter-TSS (NM_001076674)	71	NR_049730	339201	Hs.656564	NM_178542	ENSG00000267080	ASB16-AS1	C17orf65	ASB16 antisense RNA 1	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_45	chr1	12567004	12567053	+	28	NA	exon (NM_018156, exon 68 of 69)	promoter-TSS (NR_003025).2	-272	NR_003025	677885	Hs.658450	NR_003025	ENSG00000239149	SNORA59A	ACA59	small nucleolar RNA, H/ACA box 59A	snoRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5010	chr6	57379819	57379868	+	28	NA	intron (NM_000947, intron 8 of 14)	intron (NM_000947, intron 8 of 14)	124913	NR_036097	100422884		NR_036097	ENSG00000212017	MIR548U	-	microRNA 548u	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_749	chr10	89532139	89532188	+	28	NA	intron (NM_032810, intron 6 of 9)	AluJo|SINE|Alu	45754	NM_032810	84896	Hs.435948	NM_032810	ENSG00000138138	ATAD1	AFDC1|FNP001|THORASE	ATPase family, AAA domain containing 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_328	chr1	109944597	109944646	+	28	NA	3' UTR (NM_002790, exon 9 of 9)	3' UTR (NM_002790, exon 9 of 9)	-4054	NM_002959	6272	Hs.485195	NM_002959	ENSG00000134243	SORT1	Gp95|LDLCQ6|NT3|NTR3	sortilin 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1453	chr12	64825470	64825519	+	28	NA	exon (NM_007235, exon 18 of 25)	exon (NM_007235, exon 18 of 25)	-20346	NM_013254	29110	Hs.505874	NM_013254	ENSG00000183735	TBK1	NAK|T2K	TANK-binding kinase 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3841	chr3	128356781	128356895	+	28	NA	exon (NM_002950, exon 3 of 10)	exon (NM_002950, exon 3 of 10)	12881	NM_002950	6184	Hs.518244	NM_002950	ENSG00000163902	RPN1	OST1|RBPH1	ribophorin I	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3981	chr4	4291819	4291868	+	28	NA	5' UTR (NM_017816, exon 1 of 10)	promoter-TSS (NM_001145725)	53	NM_017816	55646	Hs.425427	NM_017816	ENSG00000145220	LYAR	ZC2HC2|ZLYAR	Ly1 antibody reactive	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_999	chr11	62341682	62341731	+	28	NA	Intergenic	promoter-TSS (NM_001404)	-246	NM_001404	1937	Hs.144835	NM_001404	ENSG00000254772	EEF1G	EF1G|GIG35	eukaryotic translation elongation factor 1 gamma	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5369	chr7	113754625	113754678	+	28	NA	intron (NR_033766, intron 1 of 19)	intron (NR_033766, intron 1 of 19)	28286	NR_033766	93986	Hs.282787	NM_014491	ENSG00000128573	FOXP2	CAGH44|SPCH1|TNRC10	forkhead box P2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1084	chr11	66278106	66278155	+	28	NA	5' UTR (NM_024649, exon 1 of 17)	promoter-TSS (NM_024649)	11	NM_024649	582	Hs.502915	NM_024649	ENSG00000174483	BBS1	BBS2L2	Bardet-Biedl syndrome 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4031	chr3	56591212	56591261	+	28	NA	5' UTR (NM_001012506, exon 1 of 18)	promoter-TSS (NM_001012506)	52	NM_001012506	285331	Hs.476399	NM_001012506	ENSG00000180376	CCDC66	-	coiled-coil domain containing 66	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_4830	chr6	4892064	4892117	+	28	NA	5' UTR (NM_001143971, exon 2 of 7)	exon (NM_004824, exon 2 of 7)	1864	NM_001143971	9425	Hs.269092	NM_004824	ENSG00000153046	CDYL	CDYL1	chromodomain protein, Y-like	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1026	chr11	64794955	64795004	+	28	NA	5' UTR (NM_147777, exon 1 of 7)	promoter-TSS (NM_147777)	99	NM_013306	29907	Hs.80132	NM_013306	ENSG00000110025	SNX15	HSAF001435	sorting nexin 15	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5155	chr6	170863460	170863588	+	28	NA	5' UTR (NM_003194, exon 1 of 8)	5' UTR (NM_003194, exon 1 of 8)	103	NM_001172085	6908	Hs.590872	NM_003194	ENSG00000112592	TBP	GTF2D|GTF2D1|HDL4|SCA17|TFIID	TATA box binding protein	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4365	chr5	93856412	93856461	+	28	NA	exon (NM_173665, exon 5 of 5)	exon (NM_173665, exon 5 of 5)	97873	NM_001145678	285600	Hs.425123	NM_173665	ENSG00000185261	KIAA0825	C5orf36	KIAA0825	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3840	chr3	128350934	128350983	+	28	NA	exon (NM_002950, exon 4 of 10)	exon (NM_002950, exon 4 of 10)	18761	NM_002950	6184	Hs.518244	NM_002950	ENSG00000163902	RPN1	OST1|RBPH1	ribophorin I	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1696	chr13	100848673	100848722	+	28	NA	intron (NM_000282, intron 6 of 23)	intron (NM_000282, intron 6 of 23)	107428	NM_000282	5095	Hs.80741	NM_000282	ENSG00000175198	PCCA	-	propionyl-CoA carboxylase alpha subunit	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5328	chr7	99699276	99699325	+	28	NA	5' UTR (NM_005916, exon 1 of 15)	promoter-TSS (NM_182776)	170	NM_004722	9179	Hs.632317	NM_004722	ENSG00000221838	AP4M1	CPSQ3|MU-4|MU-ARP2|SPG50	adaptor-related protein complex 4, mu 1 subunit	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_23	chr1	6727747	6727864	+	28	NA	exon (NM_018198, exon 4 of 16)	exon (NM_018198, exon 4 of 16)	34161	NM_018198	55735	Hs.462640	NM_018198	ENSG00000007923	DNAJC11	dJ126A5.1	DnaJ (Hsp40) homolog, subfamily C, member 11	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1212	chr11	125490694	125490743	+	28	NA	3' UTR (NM_001278504, exon 17 of 17)	3' UTR (NM_001278504, exon 17 of 17)	-4313	NR_045204	1111	Hs.24529	NM_001274	ENSG00000149554	CHEK1	CHK1	checkpoint kinase 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3766	chr21	38539887	38539936	+	28	NA	exon (NM_003316, exon 34 of 46)	exon (NM_003316, exon 34 of 46)	-40893	NR_026719	257203	Hs.505159	NM_148675	ENSG00000230366	DSCR9	NCRNA00038	Down syndrome critical region 9 (non-protein coding)	ncRNA
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_2606	chr17	60705049	60705098	+	28	NA	5' UTR (NM_006039, exon 1 of 30)	5' UTR (NM_006039, exon 1 of 30)	311	NM_006039	9902	Hs.7835	NM_006039	ENSG00000011028	MRC2	CD280|CLEC13E|ENDO180|UPARAP	mannose receptor, C type 2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_3494	chr2	223799360	223799409	+	28	NA	exon (NM_203372, exon 15 of 16)	exon (NM_203372, exon 15 of 16)	73652	NM_203372	2181	Hs.655772	NM_004457		ACSL3	ACS3|FACL3|PRO2194	acyl-CoA synthetase long-chain family member 3	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1941	chr15	40509697	40509746	+	28	NA	5' UTR (NM_001128629, exon 1 of 10)	promoter-TSS (NM_001128629)	92	NM_001128629	56924	Hs.513645	NM_020168	ENSG00000137843	PAK6	PAK5	p21 protein (Cdc42/Rac)-activated kinase 6	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_5535	chr8	37998746	37998795	+	28	NA	Intergenic--7347	Intergenic	9830	NM_000349	6770	Hs.521535	NM_000349		STAR	STARD1	steroidogenic acute regulatory protein	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_76	chr1	22263749	22263798	+	28	NA	5' UTR (NM_005529, exon 1 of 97)	promoter-TSS (NM_005529)	17	NM_001291860	3339	Hs.562227	NM_005529	ENSG00000142798	HSPG2	HSPG|PLC|PRCAN|SJA|SJS|SJS1	heparan sulfate proteoglycan 2	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_fstrand_peak_1883	chr14	93651338	93651387	+	28	NA	5' UTR (NM_015676, exon 1 of 2)	promoter-TSS (NM_001098621)	-13	NM_001098621	26175	Hs.275352	NM_015676	ENSG00000153485	TMEM251	C14orf109	transmembrane protein 251	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_3779	chr3	71369956	71370005	+	28	NA	intron (NM_001244808, intron 4 of 20)	intron (NM_001244808, intron 4 of 20)	-16069	NM_001244812	27086	Hs.59368	NM_032682	ENSG00000114861	FOXP1	12CC4|HSPC215|MFH|QRF1|hFKH1B	forkhead box P1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_614	chr1	243354611	243354660	+	28	NA	exon (NM_001042405, exon 8 of 19)	exon (NM_001042405, exon 8 of 19)	64073	NM_014812	9859	Hs.533635	NM_014812	ENSG00000143702	CEP170	FAM68A|KAB|KIAA0470	centrosomal protein 170kDa	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4483	chr5	150460543	150460592	+	28	NA	5' UTR (NM_001258454, exon 1 of 18)	promoter-TSS (NM_001258454)	78	NM_006058	10318	Hs.355141	NM_006058	ENSG00000145901	TNIP1	ABIN-1|NAF1|VAN|nip40-1	TNFAIP3 interacting protein 1	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_4717	chr6	43306314	43306363	+	28	NA	exon (NM_014345, exon 10 of 10)	exon (NM_014345, exon 10 of 10)	-29808	NM_206922	401262	Hs.653165	NM_206922	ENSG00000146215	CRIP3	TLP|TLP-A|bA480N24.2	cysteine-rich protein 3	protein-coding
4E1-eFT-02_S4_ut_rRNAfiltered_ud.star.hg19.sorted_rstrand_peak_1719	chr14	50863550	50863599	+	28	NA	intron (NM_001282236, intron 1 of 8)	promoter-TSS (NM_004196)	548	NM_001282236	8814	Hs.280881	NM_004196	ENSG00000100490	CDKL1	KKIALRE|P42	cyclin-dependent kinase-like 1 (CDC2-related kinase)	protein-coding
