PeakID (cmd=annotatePeaks.pl 4E1-PMA-01_S10a_sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-PMA-01_S10a_sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-PMA-01_S10a_sorted_fstrand_peak_4421	chr9	95268210	95268259	+	39	NA	intron (NM_001393, intron 6 of 9)	intron (NM_001393, intron 6 of 9)	22106	NR_039817	100616351		NR_039817	ENSG00000264158	MIR4670	-	microRNA 4670	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_3631	chr6	112575675	112575737	+	39	NA	5' UTR (NM_001105207, exon 1 of 39)	5' UTR (NM_001105207, exon 1 of 39)	211	NM_001105208	3910	Hs.654572	NM_002290	ENSG00000112769	LAMA4	CMD1JJ|LAMA3|LAMA4*-1	laminin, alpha 4	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3233b	chr5	58571597	58571739	+	39	NA	5' UTR (NM_001197220, exon 1 of 15)	5' UTR (NM_001197220, exon 1 of 15)	277	NM_001197220	5144	Hs.117545	NM_006203	ENSG00000113448	PDE4D	ACRDYS2|DPDE3|HSPDE4D|PDE43|PDE4DN2|STRK1	phosphodiesterase 4D, cAMP-specific	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2337	chr19	48949964	48950018	+	39	NA	exon (NM_031485, exon 3 of 7)	exon (NM_031485, exon 3 of 7)	961	NM_031485	83743	Hs.400625	NM_031485		GRWD1	CDW4|GRWD|RRB1|WDR28	glutamate-rich WD repeat containing 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1676	chr16	30780163	30780212	+	39	NA	exon (NM_001207033, exon 15 of 20)	exon (NM_001207033, exon 15 of 20)	6577	NM_001286572	9810	Hs.65238	NM_014771	ENSG00000103549	RNF40	BRE1B|RBP95|STARING	ring finger protein 40, E3 ubiquitin protein ligase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1997	chr18	21166378	21166427	+	39	NA	5' UTR (NM_000271, exon 1 of 25)	5' UTR (NM_000271, exon 1 of 25)	179	NM_000271	4864	Hs.464779	NM_000271	ENSG00000141458	NPC1	NPC	Niemann-Pick disease, type C1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3177	chr3	141644522	141644571	+	39	NA	3' UTR (NM_001679, exon 7 of 7)	3' UTR (NM_001679, exon 7 of 7)	49076	NM_001679	483	Hs.477789	NM_001679	ENSG00000069849	ATP1B3	ATPB-3|CD298	ATPase, Na+/K+ transporting, beta 3 polypeptide	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_437	chr1	230203026	230203082	+	39	NA	exon (NM_004481, exon 1 of 16)	exon (NM_004481, exon 1 of 16)	112	NR_120373	2590	Hs.743964	NM_004481	ENSG00000143641	GALNT2	GalNAc-T2	polypeptide N-acetylgalactosaminyltransferase 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_444	chr1	233782306	233782355	+	39	NA	intron (NM_002245, intron 1 of 2)	L2a|LINE|L2	22432	NR_039625	100616390		NR_039625	ENSG00000265744	MIR4427	-	microRNA 4427	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2175	chr19	39877090	39877139	+	39	NA	intron (NR_046384, intron 13 of 13)	intron (NR_046384, intron 13 of 13)	4721	NR_046384	54623	Hs.466714	NM_019088	ENSG00000006712	PAF1	F23149_1|PD2	PAF1 homolog, Paf1/RNA polymerase II complex component	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3289	chr4	41648244	41648293	+	39	NA	exon (NM_001112717, exon 11 of 26)	exon (NM_001112717, exon 11 of 26)	33479	NM_001112719	22998	Hs.335163	NM_014988	ENSG00000064042	LIMCH1	LIMCH1A|LMO7B	LIM and calponin homology domains 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4478	chr9	131356493	131356565	+	39	NA	exon (NM_001130438, exon 24 of 57)	exon (NM_001130438, exon 24 of 57)	41692	NM_003127	6709	Hs.372331	NM_003127	ENSG00000197694	SPTAN1	EIEE5|NEAS|SPTA2	spectrin, alpha, non-erythrocytic 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3858	chr7	99697240	99697289	+	39	NA	5' UTR (NM_182776, exon 3 of 14)	exon (NM_005916, exon 3 of 15)	1139	NM_182776	4176	Hs.438720	NM_005916	ENSG00000166508	MCM7	CDC47|MCM2|P1.1-MCM3|P1CDC47|P85MCM|PNAS146|PPP1R104	minichromosome maintenance complex component 7	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1346	chr14	69259732	69259781	+	39	NA	5' UTR (NM_004926, exon 1 of 2)	exon (NM_001244701, exon 2 of 3)	875	NM_004926	677	Hs.85155	NM_004926	ENSG00000185650	ZFP36L1	BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1	ZFP36 ring finger protein-like 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1718	chr17	1268209	1268301	+	39	NA	exon (NM_006761, exon 2 of 6)	exon (NM_006761, exon 2 of 6)	35301	NR_024058	7531	Hs.513851	NM_006761	ENSG00000108953	YWHAE	14-3-3E|HEL2|KCIP-1|MDCR|MDS	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2500	chr2	69240736	69240798	+	39	NA	exon (NM_018153, exon 1 of 13)	exon (NM_018153, exon 1 of 13)	491	NM_018153	84168	Hs.165859	NM_018153	ENSG00000169604	ANTXR1	ATR|GAPO|TEM8	anthrax toxin receptor 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1910	chr17	40721581	40721646	+	39	NA	exon (NM_198205, exon 5 of 7)	exon (NM_198205, exon 5 of 7)	2535	NM_170607	6945	Hs.383019	NM_170607	ENSG00000108788	MLX	MAD7|MXD7|TCFL4|bHLHd13	MLX, MAX dimerization protein	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_946	chr12	6601472	6601601	+	39	NA	exon (NM_016497, exon 3 of 3)	exon (NM_016497, exon 3 of 3)	935	NM_016497	51258	Hs.55847	NM_016497		MRPL51	CDA09|HSPC241|MRP64|bMRP64	mitochondrial ribosomal protein L51	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3723	chr6	26104366	26104422	+	39	NA	exon (NM_003542, exon 1 of 1)	exon (NM_003542, exon 1 of 1)	218	NM_003542	8364	Hs.46423	NM_003542		HIST1H4C	H4/g|H4FG|dJ221C16.1	histone cluster 1, H4c	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_153	chr1	45988430	45988495	+	39	NA	5' UTR (NM_001202431, exon 1 of 6)	promoter-TSS (NM_001202431)	100	NM_001202431	5052	Hs.180909	NM_002574	ENSG00000117450	PRDX1	MSP23|NKEF-A|NKEFA|PAG|PAGA|PAGB|PRX1|PRXI|TDPX2	peroxiredoxin 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_556	chr10	81107228	81107278	+	39	NA	5' UTR (NM_005729, exon 1 of 6)	promoter-TSS (NM_005729)	33	NM_005729	10105	Hs.381072	NM_005729	ENSG00000108179	PPIF	CYP3|CyP-M|Cyp-D|CypD	peptidylprolyl isomerase F	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4176	chr8	11679307	11679396	+	39	NA	exon (NM_001287751, exon 3 of 7)	exon (NM_001287751, exon 3 of 7)	12698	NM_001287751	2222	Hs.593928	NM_004462	ENSG00000079459	FDFT1	DGPT|ERG9|SQS|SS	farnesyl-diphosphate farnesyltransferase 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2112	chr18	57567228	57567282	+	39	NA	5' UTR (NM_021127, exon 1 of 2)	promoter-TSS (NM_021127)	63	NM_021127	5366	Hs.96	NM_021127	ENSG00000141682	PMAIP1	APR|NOXA	phorbol-12-myristate-13-acetate-induced protein 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4323a	chr9	128003476	128003627	+	39	NA	5' UTR (NM_005347, exon 1 of 8)	5' UTR (NM_005347, exon 1 of 8)	115	NM_005347	3309	Hs.743241	NM_005347	ENSG00000044574	HSPA5	BIP|GRP78|HEL-S-89n|MIF2	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4341	chr8	145064265	145064317	+	39	NA	5' UTR (NM_000837, exon 1 of 7)	promoter-TSS (NM_000837)	65	NM_000837	2907	Hs.594634	NM_000837	ENSG00000178719	GRINA	HNRGW|LFG1|NMDARA1|TMBIM3	glutamate receptor, ionotropic, N-methyl D-aspartate-associated protein 1 (glutamate binding)	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3327	chr4	95373093	95373142	+	39	NA	5' UTR (NM_001011515, exon 1 of 9)	non-coding (NR_046186, exon 1 of 3)	109	NM_001256427	10611	Hs.480311	NM_006457	ENSG00000163110	PDLIM5	ENH|ENH1|L9|LIM	PDZ and LIM domain 5	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4292	chr9	123408527	123408576	+	39	NA	intron (NM_001080497, intron 2 of 5)	intron (NM_001080497, intron 2 of 5)	-66103	NM_001011649	55755	Hs.269560	NM_018249	ENSG00000136861	CDK5RAP2	C48|Cep215|MCPH3	CDK5 regulatory subunit associated protein 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4322	chr9	128003327	128003392	+	39	NA	exon (NM_005347, exon 1 of 8)	exon (NM_005347, exon 1 of 8)	307	NM_005347	3309	Hs.743241	NM_005347	ENSG00000044574	HSPA5	BIP|GRP78|HEL-S-89n|MIF2	heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1876	chr17	34163213	34163264	+	39	NA	exon (NM_139215, exon 10 of 16)	exon (NM_139215, exon 10 of 16)	26779	NM_139215	8148	Hs.402752	NM_003487	ENSG00000270647	TAF15	Npl3|RBP56|TAF2N|TAFII68	TATA box binding protein associated factor 15	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_837	chr11	65743945	65744002	+	39	NA	exon (NM_005146, exon 13 of 20)	exon (NM_005146, exon 13 of 20)	14813	NM_005146	9092	Hs.502883	NM_005146	ENSG00000175467	SART1	Ara1|HOMS1|SART1259|SNRNP110|Snu66	squamous cell carcinoma antigen recognized by T-cells 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4180	chr9	21542795	21542844	+	39	NA	intron (NR_027054, intron 1 of 3)	L2c|LINE|L2	16878	NR_027054	554202	Hs.458096	NR_027054		MIR31HG	-	MIR31 host gene	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_120	chr1	43825707	43825756	+	39	NA	exon (NM_001255, exon 5 of 11)	exon (NM_001255, exon 5 of 11)	1105	NM_001255	991	Hs.524947	NM_001255	ENSG00000117399	CDC20	CDC20A|bA276H19.3|p55CDC	cell division cycle 20	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2378	chr19	55882239	55882351	+	39	NA	Intergenic	promoter-TSS (NM_000641)	-464	NM_001267718	3589	Hs.467304	NM_000641	ENSG00000095752	IL11	AGIF|IL-11	interleukin 11	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1270	chr13	92409100	92409149	+	39	NA	intron (NM_004466, intron 5 of 7)	intron (NM_004466, intron 5 of 7)	358251	NM_004466	2262	Hs.655675	NM_004466	ENSG00000179399	GPC5	-	glypican 5	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3019	chr3	4726756	4726805	+	39	NA	exon (NM_001099952, exon 30 of 59)	exon (NM_001099952, exon 30 of 59)	66494	NR_004428	100126791	Hs.663059	NR_004428	ENSG00000235947	EGOT	EGO|NCRNA00190	eosinophil granule ontogeny transcript (non-protein coding)	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_2444	chr2	176042936	176043072	+	39	NA	3' UTR (NM_001689, exon 5 of 5)	3' UTR (NM_001689, exon 5 of 5)	3387	NM_001002258	518	Hs.429	NM_001689		ATP5G3	P3	ATP synthase, H+ transporting, mitochondrial Fo complex subunit C3 (subunit 9)	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_164	chr1	70716079	70716134	+	39	NA	exon (NM_001190987, exon 12 of 13)	exon (NM_001190987, exon 12 of 13)	44741	NM_004768	9295	Hs.479693	NM_004768	ENSG00000116754	SRSF11	NET2|SFRS11|dJ677H15.2|p54	serine/arginine-rich splicing factor 11	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4020	chr8	62627043	62627135	+	39	NA	5' UTR (NM_001164754, exon 1 of 13)	promoter-TSS (NR_039680)	110	NM_032466	444	Hs.332422	NM_004318	ENSG00000198363	ASPH	AAH|BAH|CASQ2BP1|FDLAB|HAAH|JCTN|junctin	aspartate beta-hydroxylase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3573	chr6	75890663	75890712	+	39	NA	exon (NM_004370, exon 11 of 66)	exon (NM_004370, exon 11 of 66)	24936	NM_080645	1303	Hs.101302	NM_004370	ENSG00000111799	COL12A1	BA209D8.1|COL12A1L|DJ234P15.1	collagen, type XII, alpha 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_541	chr10	75830758	75830826	+	39	NA	exon (NM_014000, exon 4 of 22)	exon (NM_014000, exon 4 of 22)	72920	NM_014000	7414	Hs.643896	NM_003373	ENSG00000035403	VCL	CMD1W|CMH15|HEL114|MV|MVCL	vinculin	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1516	chr15	72502703	72502771	+	39	NA	exon (NM_001206799, exon 4 of 11)	exon (NM_001206799, exon 4 of 11)	-12601	NM_001012642	196996	Hs.596332	NM_001012642	ENSG00000175318	GRAMD2	-	GRAM domain containing 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1877	chr17	48264065	48264149	+	39	NA	exon (NM_000088, exon 48 of 51)	exon (NM_000088, exon 48 of 51)	-14270	NR_024192	373861	Hs.25934	NM_194072		HILS1	H1.9	histone linker H1 domain, spermatid-specific 1, pseudogene	pseudo
4E1-PMA-01_S10a_sorted_fstrand_peak_1909	chr17	40714172	40714221	+	39	NA	5' UTR (NM_001042532, exon 1 of 11)	5' UTR (NM_001042532, exon 1 of 11)	104	NM_001042529	80347	Hs.296422	NM_025233	ENSG00000068120	COASY	DPCK|NBIA6|NBP|PPAT|UKR1|pOV-2	CoA synthase	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_949	chr12	1889659	1889717	+	39	NA	exon (NM_024551, exon 5 of 8)	exon (NM_024551, exon 5 of 8)	-39745	NM_001163926	654429	Hs.585579	NM_001039029	ENSG00000166159	LRTM2	-	leucine-rich repeats and transmembrane domains 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_487	chr1	245022056	245022113	+	39	NA	exon (NM_004501, exon 6 of 14)	exon (NM_004501, exon 6 of 14)	-4565	NR_132782	106635532		NR_132782		SNORA100	-	small nucleolar RNA, H/ACA box 100	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_862	chr11	68359094	68359168	+	39	NA	exon (NM_001164162, exon 18 of 24)	exon (NM_001164162, exon 18 of 24)	-92812	NM_015973	51083	Hs.278959	NM_015973	ENSG00000069482	GAL	GAL-GMAP|GALN|GLNN|GMAP	galanin/GMAP prepropeptide	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_629	chr10	114912161	114912229	+	39	NA	exon (NM_001198525, exon 10 of 15)	exon (NM_001198525, exon 10 of 15)	107081	NR_132769	106635520		NR_132769		SNORA87	-	small nucleolar RNA, H/ACA box 87	snoRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_3087	chr3	50129520	50129569	+	39	NA	exon (NM_005778, exon 3 of 25)	exon (NM_005778, exon 3 of 25)	3203	NM_005778	10181	Hs.439480	NM_005778	ENSG00000003756	RBM5	G15|H37|LUCA15|RMB5	RNA binding motif protein 5	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2022	chr17	73201844	73201893	+	39	NA	5' UTR (NM_001303276, exon 1 of 18)	exon (NM_024844, exon 1 of 19)	323	NM_001303276	79902	Hs.362817	NM_024844	ENSG00000125450	NUP85	FROUNT|Nup75	nucleoporin 85kDa	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1659	chr16	29822107	29822207	+	39	NA	non-coding (NR_074080, exon 4 of 4)	non-coding (NR_074080, exon 4 of 4)	-1252	NM_145239	112476	Hs.655071	NM_145239	ENSG00000167371	PRRT2	BFIC2|BFIS2|DSPB3|DYT10|EKD1|FICCA|ICCA|IFITMD1|PKC	proline-rich transmembrane protein 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2082	chr18	12991362	12991420	+	39	NA	5' UTR (NM_032142, exon 1 of 45)	promoter-TSS (NM_032142)	30	NM_032142	55125	Hs.100914	NM_018069	ENSG00000101639	CEP192	PPP1R62	centrosomal protein 192kDa	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1658	chr16	29821944	29822039	+	39	NA	non-coding (NR_074080, exon 4 of 4)	non-coding (NR_074080, exon 4 of 4)	-1418	NM_145239	112476	Hs.655071	NM_145239	ENSG00000167371	PRRT2	BFIC2|BFIS2|DSPB3|DYT10|EKD1|FICCA|ICCA|IFITMD1|PKC	proline-rich transmembrane protein 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2253	chr2	9770295	9770390	+	39	NA	exon (NM_006826, exon 2 of 6)	exon (NM_006826, exon 2 of 6)	842	NM_006826	10971	Hs.74405	NM_006826	ENSG00000134308	YWHAQ	14-3-3|1C5|HS1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4348	chr8	145736460	145736509	+	39	NA	exon (NM_138431, exon 5 of 5)	TTS (NM_004260)	2065	NM_138431	113655	Hs.7678	NM_138431	ENSG00000167700	MFSD3	-	major facilitator superfamily domain containing 3	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4614	chrX	47100012	47100061	+	39	NA	exon (NM_004651, exon 6 of 21)	exon (NM_004651, exon 6 of 21)	7722	NM_004651	8237	Hs.171501	NM_004651	ENSG00000102226	USP11	UHX1	ubiquitin specific peptidase 11	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4007	chr7	36480127	36480176	+	39	NA	intron (NM_018685, intron 21 of 23)	L2c|LINE|L2	-50417	NM_001100425	23366	Hs.6224	NM_015314	ENSG00000164542	KIAA0895	-	KIAA0895	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1038	chr12	50400332	50400381	+	39	NA	exon (NM_001126104, exon 3 of 17)	exon (NM_001126104, exon 3 of 17)	18951	NM_001126103	29127	Hs.505469	NM_013277	ENSG00000161800	RACGAP1	CYK4|HsCYK-4|ID-GAP|MgcRacGAP	Rac GTPase activating protein 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_4197	chr9	33111319	33111368	+	39	NA	3' UTR (NM_001497, exon 6 of 6)	3' UTR (NM_001497, exon 6 of 6)	-34629	NM_018225	55234	Hs.655351	NM_018225	ENSG00000122692	SMU1	BWD|SMU-1|fSAP57	smu-1 suppressor of mec-8 and unc-52 homolog (C. elegans)	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_3487	chr6	30514000	30514049	+	39	NA	exon (NM_005275, exon 12 of 12).5	exon (NM_005275, exon 12 of 12).5	-10462	NM_025263	80742	Hs.118354	NM_025263		PRR3	CAT56	proline rich 3	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2654	chr2	201754097	201754211	+	39	NA	5' UTR (NM_021824, exon 1 of 7)	promoter-TSS (NM_130906)	46	NM_021824	60491	Hs.145284	NM_021824	ENSG00000196290	NIF3L1	ALS2CR1|CALS-7|MDS015	NIF3 NGG1 interacting factor 3-like 1	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_57	chr1	17301736	17301787	+	39	NA	intron (NM_017459, intron 8 of 8)	intron (NM_017459, intron 8 of 8)	5412	NM_001135248	4237	Hs.389137	NM_002403	ENSG00000117122	MFAP2	MAGP|MAGP-1|MAGP1	microfibrillar associated protein 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2158	chr19	4941582	4941631	+	39	NA	exon (NM_001048201, exon 6 of 17)	exon (NM_001048201, exon 6 of 17)	8907	NR_039902	100616337		NR_039902	ENSG00000263409	MIR4747	mir-4747	microRNA 4747	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2174	chr19	8520452	8520501	+	39	NA	intron (NM_001297418, intron 2 of 13)	intron (NM_001297418, intron 2 of 13)	10673	NM_031203	4670	Hs.465808	NM_005968	ENSG00000099783	HNRNPM	CEAR|HNRNPM4|HNRPM|HNRPM4|HTGR1|NAGR1|hnRNP M	heterogeneous nuclear ribonucleoprotein M	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_1565	chr15	90999488	90999539	+	39	NA	exon (NM_003870, exon 15 of 38)	exon (NM_003870, exon 15 of 38)	68040	NM_003870	8826	Hs.430551	NM_003870	ENSG00000140575	IQGAP1	HUMORFA01|SAR1|p195	IQ motif containing GTPase activating protein 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2798	chr20	34144795	34144844	+	39	NA	exon (NM_015966, exon 11 of 13)	exon (NM_015966, exon 11 of 13)	15041	NM_015966	51614	Hs.472558	NM_015966	ENSG00000125991	ERGIC3	C20orf47|CGI-54|Erv46|NY-BR-84|PRO0989|SDBCAG84|dJ477O4.2	ERGIC and golgi 3	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2539	chr2	242195618	242195667	+	39	NA	exon (NM_001243900, exon 8 of 28)	exon (NM_001243900, exon 8 of 28)	16604	NM_001243900	3069	Hs.471851	NM_005336	ENSG00000115677	HDLBP	HBP|PRO2900|VGL	high density lipoprotein binding protein	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_2640	chr2	189876411	189876604	+	39	NA	3' UTR (NM_000090, exon 51 of 51)	3' UTR (NM_000090, exon 51 of 51)	16151	NR_037401	100500837		NR_037401		MIR3606	mir-3606	microRNA 3606	ncRNA
4E1-PMA-01_S10a_sorted_rstrand_peak_1186	chr13	31712538	31712631	+	39	NA	exon (NM_006644, exon 17 of 18)	exon (NM_006644, exon 17 of 18)	23574	NM_006644	10808	Hs.743267	NM_006644	ENSG00000120694	HSPH1	HSP105|HSP105A|HSP105B|NY-CO-25	heat shock 105kDa/110kDa protein 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4320	chr8	126011232	126011281	+	39	NA	5' UTR (NM_003129, exon 1 of 11)	5' UTR (NM_003129, exon 1 of 11)	536	NM_003129	6713	Hs.71465	NM_003129	ENSG00000104549	SQLE	-	squalene epoxidase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1302	chr14	34910875	34910924	+	39	NA	intron (NM_138288, intron 1 of 1)	MER51-int|LTR|ERV1	20569	NM_138288	171546	Hs.740577	NM_138288	ENSG00000165389	SPTSSA	C14orf147|SSSPTA	serine palmitoyltransferase, small subunit A	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1724	chr17	1619451	1619500	+	39	NA	non-coding (NR_028505, exon 1 of 3)	promoter-TSS (NM_001163673)	91	NR_028505	84981	Hs.597755	NM_032895	ENSG00000186594	MIR22HG	C17orf91	MIR22 host gene	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_2139	chr19	1241809	1241879	+	39	NA	5' UTR (NM_001687, exon 1 of 4)	promoter-TSS (NM_001687)	95	NM_001687	513	Hs.418668	NM_001687	ENSG00000099624	ATP5D	-	ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_76	chr1	23637352	23637416	+	39	NA	exon (NM_001102397, exon 10 of 10)	exon (NM_001102397, exon 10 of 10)	-25373	NR_110616	100996511	Hs.99836	NR_110616		LINC01355	-	long intergenic non-protein coding RNA 1355	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4284	chr8	97345842	97345891	+	39	NA	3' UTR (NM_001290225, exon 11 of 11)	3' UTR (NM_001290225, exon 11 of 11)	53010	NR_125829	102724804	Hs.571415	NR_125828	ENSG00000253105	LOC102724804	-	uncharacterized LOC102724804	ncRNA
4E1-PMA-01_S10a_sorted_fstrand_peak_4290	chr8	98827615	98827664	+	39	NA	intron (NM_018407, intron 3 of 6)	intron (NM_018407, intron 3 of 6)	39830	NM_018407	55353	Hs.492314	NM_018407	ENSG00000104341	LAPTM4B	LAPTM4beta|LC27	lysosomal protein transmembrane 4 beta	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4318	chr8	126010913	126011003	+	39	NA	5' UTR (NM_003129, exon 1 of 11)	5' UTR (NM_003129, exon 1 of 11)	238	NM_003129	6713	Hs.71465	NM_003129	ENSG00000104549	SQLE	-	squalene epoxidase	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_1547	chr15	85238970	85239019	+	39	NA	intron (NM_014300, intron 1 of 5)	U2|snRNA|snRNA	20697	NM_001271919	23478	Hs.9534	NM_014300	ENSG00000140612	SEC11A	1810012E07Rik|SEC11L1|SPC18|SPCS4A|sid2895	SEC11 homolog A, signal peptidase complex subunit	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3616	chr5	140080032	140080081	+	39	NA	exon (NM_144723, exon 1 of 6)	promoter-TSS (NM_144723)	24	NM_144723	153527	Hs.350194	NM_144723	ENSG00000146007	ZMAT2	Ptg-12|Snu23|hSNU23	zinc finger, matrin-type 2	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_4704	chrX	123095615	123095716	+	39	NA	5' UTR (NM_001042750, exon 1 of 35)	promoter-TSS (NR_130770)	109	NM_006603	10735	Hs.496710	NM_006603	ENSG00000101972	STAG2	SA-2|SA2|SCC3B|bA517O1.1	stromal antigen 2	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2365	chr2	95774028	95774129	+	39	NA	exon (NM_031902, exon 5 of 12)	exon (NM_031902, exon 5 of 12)	13676	NM_031902	64969	Hs.655259	NM_031902	ENSG00000144029	MRPS5	MRP-S5|S5mt	mitochondrial ribosomal protein S5	protein-coding
4E1-PMA-01_S10a_sorted_rstrand_peak_2673	chr21	46233950	46233999	+	39	NA	exon (NM_001286416, exon 2 of 4)	exon (NM_001286416, exon 2 of 4)	4070	NM_001286416	6612	Hs.474005	NM_006936	ENSG00000184900	SUMO3	SMT3A|SMT3H1|SUMO-3|Smt3B	small ubiquitin-like modifier 3	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_999	chr12	16516984	16517033	+	39	NA	non-coding (NR_048545, exon 3 of 3)	non-coding (NR_048545, exon 3 of 3)	10657	NM_145764	4257	Hs.389700	NM_020300	ENSG00000008394	MGST1	GST12|MGST|MGST-I	microsomal glutathione S-transferase 1	protein-coding
4E1-PMA-01_S10a_sorted_fstrand_peak_3666	chr5	173788928	173788985	+	39	NA	intron (NR_125806, intron 1 of 5)	L2b|LINE|L2	25599	NR_125806	101928176	Hs.436014	NR_125806	ENSG00000249306	LINC01411	-	long intergenic non-protein coding RNA 1411	ncRNA
