PeakID (cmd=annotatePeaks.pl 4E1-PMA-01_S10b_sorted_merged.narrowPeak hg19 -ann /data_b/tools/homer2/data/genomes/hg19/annotations/custom/utr5_exons_utr3_introns_intergenic_sorted_table.file -annStats 4E1-PMA-01_S10b_sorted_merged_annStats.tsv)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
4E1-PMA-01_S10b_sorted_rstrand_peak_2553	chr20	8000349	8000398	+	38	NA	5' UTR (NM_021156, exon 1 of 8)	5' UTR (NM_021156, exon 1 of 8)	103	NM_021156	56255	Hs.169358	NM_021156	ENSG00000125827	TMX4	DJ971N18.2|PDIA14|TXNDC13	thioredoxin-related transmembrane protein 4	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2353	chr19	48112392	48112441	+	38	NA	intron (NM_015711, intron 1 of 14)	CpG	963	NM_015711	29998	Hs.97244	NM_015711	ENSG00000063169	GLTSCR1	-	glioma tumor suppressor candidate region gene 1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1635	chr16	68057088	68057137	+	38	NA	5' UTR (NM_017803, exon 1 of 17)	5' UTR (NM_017803, exon 1 of 17)	265	NM_017803	54920	Hs.534460	NM_017803	ENSG00000167264	DUS2	DUS2L|SMM1|URLC8	dihydrouridine synthase 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1372	chr14	92506346	92506395	+	38	NA	5' UTR (NM_004239, exon 1 of 21)	promoter-TSS (NM_004239)	33	NM_004239	9321	Hs.632339	NM_004239	ENSG00000100815	TRIP11	ACG1A|CEV14|GMAP-210|GMAP210|TRIP-11|TRIP230	thyroid hormone receptor interactor 11	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4707	chrX	150151805	150151854	+	38	NA	5' UTR (NM_001301229, exon 1 of 5)	promoter-TSS (NM_001301229)	-29	NM_001301228	3149	Hs.19114	NM_005342	ENSG00000029993	HMGB3	HMG-2a|HMG-4|HMG2A|HMG4	high mobility group box 3	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_327	chr1	156235875	156235929	+	38	NA	exon (NM_015327, exon 12 of 22)	exon (NM_015327, exon 12 of 22)	16718	NM_015327	23381	Hs.516837	NM_015327	ENSG00000198952	SMG5	EST1B|LPTS-RP1|LPTSRP1|SMG-5	SMG5 nonsense mediated mRNA decay factor	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2643	chr2	187351030	187351079	+	38	NA	5' UTR (NM_018471, exon 1 of 10)	5' UTR (NM_018471, exon 1 of 10)	169	NM_018471	55854	Hs.741180	NM_018471	ENSG00000065548	ZC3H15	HT010|LEREPO4|MSTP012	zinc finger CCCH-type containing 15	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1534	chr15	48624370	48624471	+	38	NA	5' UTR (NM_001948, exon 1 of 6)	promoter-TSS (NM_001948)	55	NM_001948	1854	Hs.527980	NM_001948	ENSG00000128951	DUT	dUTPase	deoxyuridine triphosphatase	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2630	chr2	173346544	173346593	+	38	NA	intron (NM_001316306, intron 11 of 25)	intron (NM_001316306, intron 11 of 25)	54285	NM_001079818	3655	Hs.133397	NM_000210	ENSG00000091409	ITGA6	CD49f|ITGA6B|VLA-6	integrin alpha 6	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3818	chr7	75988212	75988306	+	38	NA	5' UTR (NM_012479, exon 1 of 2)	promoter-TSS (NM_012479)	83	NM_012479	7532	Hs.744840	NM_012479	ENSG00000170027	YWHAG	14-3-3GAMMA|PPP1R170	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, gamma	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_964	chr12	2910493	2910548	+	38	NA	exon (NM_002014, exon 9 of 10)	exon (NM_002014, exon 9 of 10)	6412	NM_002014	2288	Hs.524183	NM_002014	ENSG00000004478	FKBP4	FKBP51|FKBP52|FKBP59|HBI|Hsp56|PPIase|p52	FK506 binding protein 4	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1614	chr15	99467225	99467274	+	38	NA	intron (NM_001291858, intron 12 of 20)	intron (NM_001291858, intron 12 of 20)	81636	NM_001102612	145814	Hs.592021	NM_001102612	ENSG00000183571	PGPEP1L	-	pyroglutamyl-peptidase I-like	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2005	chr17	60501261	60501310	+	38	NA	exon (NM_181725, exon 1 of 9)	promoter-TSS (NM_181725)	39	NM_181725	339175	Hs.381204	NM_181725	ENSG00000087995	METTL2A	METTL2	methyltransferase like 2A	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1887	chr17	54991359	54991408	+	38	NA	5' UTR (NM_005082, exon 1 of 9)	promoter-TSS (NM_005082)	26	NM_005082	7706	Hs.528952	NM_005082	ENSG00000121060	TRIM25	EFP|RNF147|Z147|ZNF147	tripartite motif containing 25	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1651	chr16	75590101	75590150	+	38	NA	5' UTR (NM_001077418, exon 1 of 7)	promoter-TSS (NM_001077416)	59	NM_001077418	79583	Hs.156784	NM_001077416	ENSG00000205084	TMEM231	ALYE870|JBTS20|MKS11|PRO1886	transmembrane protein 231	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2942	chr22	29886126	29886184	+	38	NA	exon (NM_021076, exon 4 of 4)	exon (NM_021076, exon 4 of 4)	9974	NM_021076	4744	Hs.198760	NM_021076	ENSG00000100285	NEFH	NFH	neurofilament, heavy polypeptide	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3737	chr7	6513792	6513853	+	38	NA	exon (NM_006854, exon 2 of 5)	exon (NM_006854, exon 2 of 5)	10027	NM_001100603	11014	Hs.654552	NM_006854	ENSG00000136240	KDELR2	ELP-1|ERD2.2	KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4610	chrX	53935523	53935572	+	38	NA	Intergenic--16998	5S|rRNA|rRNA	134080	NM_001184898	23133	Hs.133352	NM_015107	ENSG00000172943	PHF8	JHDM1F|MRXSSD|ZNF422	PHD finger protein 8	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_102	chr1	38478421	38478470	+	38	NA	5' UTR (NM_016037, exon 1 of 8)	promoter-TSS (NM_016037)	61	NM_016037	51118	Hs.472038	NM_016037	ENSG00000183520	UTP11L	CGI-94|CGI94	UTP11-like, U3 small nucleolar ribonucleoprotein (yeast)	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_205	chr1	78225402	78225451	+	38	NA	5' UTR (NM_201624, exon 1 of 24)	5' UTR (NM_201624, exon 1 of 24)	138	NM_201624	23032	Hs.480597	NM_015017	ENSG00000077254	USP33	VDU1	ubiquitin specific peptidase 33	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1223	chr13	50338827	50338876	+	38	NA	intron (NM_002267, intron 1 of 16)	L2|LINE|L2	28206	NM_002267	3839	Hs.527919	NM_002267	ENSG00000102753	KPNA3	IPOA4|SRP1|SRP1gamma|SRP4|hSRP1	karyopherin alpha 3 (importin alpha 4)	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1883	chr17	48941257	48941339	+	38	NA	5' UTR (NM_001243885, exon 2 of 2)	exon (NM_001243877, exon 3 of 3)	2417	NM_001243885	10140	Hs.703321	NM_005749	ENSG00000141232	TOB1	APRO6|PIG49|TOB|TROB|TROB1	transducer of ERBB2, 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3384	chr4	174216576	174216625	+	38	NA	exon (NM_017423, exon 4 of 12)	exon (NM_017423, exon 4 of 12)	38320	NM_001130689	3148	Hs.434953	NM_002129		HMGB2	HMG2	high mobility group box 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2348	chr2	74659684	74659733	+	38	NA	exon (NM_033046, exon 3 of 13)	exon (NM_033046, exon 3 of 13)	8002	NM_001015056	6242	Hs.192854	NM_033046	ENSG00000114993	RTKN	-	rhotekin	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3042	chr3	23600688	23600737	+	38	NA	intron (NR_039621, intron 2 of 2)	intron (NR_039621, intron 2 of 2)	225086	NR_039621	100616384		NR_039621	ENSG00000264419	MIR548AC	-	microRNA 548ac	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_907	chr11	108535801	108535850	+	38	NA	5' UTR (NM_004398, exon 1 of 18)	promoter-TSS (NM_004398)	73	NM_004398	1662	Hs.591931	NM_004398	ENSG00000178105	DDX10	HRH-J8	DEAD (Asp-Glu-Ala-Asp) box polypeptide 10	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3292	chr4	47487324	47487373	+	38	NA	Intergenic	promoter-TSS (NM_020453)	-62	NM_020453	57205	Hs.437241	NM_020453	ENSG00000145246	ATP10D	ATPVD	ATPase, class V, type 10D	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1496	chr15	25776495	25776544	+	38	NA	Intergenic--12171	Intergenic	-92344	NM_130839	7337	Hs.598862	NM_000462	ENSG00000114062	UBE3A	ANCR|AS|E6-AP|EPVE6AP|HPVE6A	ubiquitin protein ligase E3A	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1198	chr12	112460298	112460404	+	38	NA	exon (NM_006817, exon 3 of 3)	exon (NM_006817, exon 3 of 3)	9199	NM_001034025	10961	Hs.75841	NM_006817	ENSG00000089248	ERP29	C12orf8|ERp28|ERp31|HEL-S-107|PDI-DB|PDIA9	endoplasmic reticulum protein 29	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3168	chr5	6605381	6605476	+	38	NA	non-coding (NR_037947, exon 14 of 18)	non-coding (NR_037947, exon 14 of 18)	22039	NR_024424	255167	Hs.435515	NR_024423	ENSG00000250056	LINC01018	SRHC	long intergenic non-protein coding RNA 1018	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_3911	chr6	143382037	143382088	+	38	NA	5' UTR (NM_016108, exon 1 of 6)	promoter-TSS (NM_016108)	83	NM_001286589	51390	Hs.567501	NM_016108	ENSG00000146416	AIG1	AIG-1|dJ95L4.1	androgen-induced 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2380	chr19	50154426	50154478	+	38	NA	exon (NM_021228, exon 7 of 11)	exon (NM_021228, exon 7 of 11)	9070	NM_021228	58506	Hs.103521	NM_021228	ENSG00000126461	SCAF1	SRA1	SR-related CTD-associated factor 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3086	chr3	50302436	50302485	+	38	NA	Intergenic--3135	Intergenic	2343	NR_110702	101928931	Hs.587216	NR_110702	ENSG00000232352	SEMA3B-AS1	-	SEMA3B antisense RNA 1 (head to head)	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_3503	chr5	70912496	70912545	+	38	NA	intron (NM_022132, intron 6 of 16)	intron (NM_022132, intron 6 of 16)	29405	NM_022132	64087	Hs.604789	NM_022132	ENSG00000131844	MCCC2	MCCB	methylcrotonoyl-CoA carboxylase 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4217	chr8	23405708	23405757	+	38	NA	intron (NM_016612, intron 1 of 3)	AluSc8|SINE|Alu	19369	NM_016612	51312	Hs.596025	NM_016612		SLC25A37	HT015|MFRN|MFRN1|MSC|MSCP|PRO1278|PRO1584|PRO2217	solute carrier family 25 (mitochondrial iron transporter), member 37	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1221	chr12	124118376	124118425	+	38	NA	5' UTR (NM_001516, exon 1 of 13)	promoter-TSS (NM_001414)	-77	NM_001414	1967	Hs.741273	NM_001414		EIF2B1	EIF2B|EIF2BA	eukaryotic translation initiation factor 2B, subunit 1 alpha, 26kDa	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1148	chr12	121790164	121790213	+	38	NA	5' UTR (NM_016237, exon 1 of 17)	promoter-TSS (NM_016237)	77	NM_016237	51433	Hs.7101	NM_016237	ENSG00000089053	ANAPC5	APC5	anaphase promoting complex subunit 5	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_868	chr11	73588044	73588093	+	38	NA	5' UTR (NM_001267803, exon 1 of 13)	promoter-TSS (NM_001267803)	54	NM_001267803	80227	Hs.525017	NM_025155	ENSG00000175575	PAAF1	PAAF|Rpn14|WDR71	proteasomal ATPase-associated factor 1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2950	chr22	35777094	35777143	+	38	NA	5' UTR (NM_002133, exon 1 of 5)	promoter-TSS (NM_002133)	58	NM_002133	3162	Hs.517581	NM_002133	ENSG00000100292	HMOX1	HMOX1D|HO-1|HSP32|bK286B10	heme oxygenase 1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4065	chr8	98781895	98781944	+	38	NA	Intergenic--7596	AluSx1|SINE|Alu	-5890	NM_018407	55353	Hs.492314	NM_018407	ENSG00000104341	LAPTM4B	LAPTM4beta|LC27	lysosomal protein transmembrane 4 beta	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2519	chr2	230411622	230411671	+	38	NA	intron (NM_139072, intron 5 of 12)	intron (NM_139072, intron 5 of 12)	167640	NM_139072	92737	Hs.234074	NM_139072	ENSG00000187957	DNER	UNQ26|bet	delta/notch like EGF repeat containing	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2992	chr22	44360430	44360479	+	38	NA	intron (NM_015380, intron 3 of 14)	intron (NM_015380, intron 3 of 14)	9193	NM_015380	25813	Hs.505824	NM_015380	ENSG00000100347	SAMM50	CGI-51|OMP85|SAM50|TOB55|TRG-3|YNL026W	SAMM50 sorting and assembly machinery component	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2271	chr19	19611971	19612020	+	38	NA	exon (NM_017660, exon 9 of 12)	exon (NM_017660, exon 9 of 12)	14474	NM_032037	83983	Hs.532711	NM_032037	ENSG00000178093	TSSK6	CT72|FKSG82|SSTK|TSSK4	testis-specific serine kinase 6	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3894	chr6	124860013	124860062	+	38	NA	intron (NM_001300738, intron 4 of 7)	intron (NM_001300738, intron 4 of 7)	255886	NM_001300740	154215	Hs.656604	NM_153355	ENSG00000188580	NKAIN2	FAM77B|NKAIP2|TCBA|TCBA1	Na+/K+ transporting ATPase interacting 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2166	chr19	40330884	40330933	+	38	NA	exon (NM_001436, exon 4 of 9)	exon (NM_001436, exon 4 of 9)	-6035	NM_004714	9149	Hs.130988	NM_004714	ENSG00000105204	DYRK1B	AOMS3|MIRK	dual specificity tyrosine-(Y)-phosphorylation regulated kinase 1B	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4211	chr9	34126588	34126683	+	38	NA	5' UTR (NM_015397, exon 1 of 9)	5' UTR (NM_015397, exon 1 of 9)	136	NM_015397	25853	Hs.493750	NM_015397	ENSG00000198876	DCAF12	CT102|KIAA1892|TCC52|WDR40A	DDB1 and CUL4 associated factor 12	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4242	chr8	38883338	38883387	+	38	NA	non-coding (NR_027878, exon 10 of 21)	non-coding (NR_027878, exon 10 of 21)	28857	NR_027878	8754	Hs.591852	NM_003816	ENSG00000168615	ADAM9	CORD9|MCMP|MDC9|Mltng	ADAM metallopeptidase domain 9	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3484	chr6	31238869	31238921	+	38	NA	exon (NM_002117, exon 3 of 8)	exon (NM_002117, exon 3 of 8)	1018	NM_002117	3107	Hs.77961	NM_002117	ENSG00000204525	HLA-C	D6S204|HLA-JY3|HLC-C|PSORS1	major histocompatibility complex, class I, C	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4058	chr8	93156641	93156690	+	38	NA	Intergenic--7565	Intergenic	23074	NR_106988	102465753		NR_106988		MIR7641-2	B-ATF|hsa-mir-7641-2	microRNA 7641-2	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_1284	chr13	53029596	53029699	+	38	NA	5' UTR (NM_001286687, exon 1 of 6)	promoter-TSS (NM_001286686)	152	NM_001098525	26586	Hs.444028	NM_018204	ENSG00000136108	CKAP2	LB1|TMAP|se20-10	cytoskeleton associated protein 2	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4299	chr8	98788289	98788338	+	38	NA	exon (NM_018407, exon 1 of 7)	exon (NM_018407, exon 1 of 7)	504	NM_018407	55353	Hs.492314	NM_018407	ENSG00000104341	LAPTM4B	LAPTM4beta|LC27	lysosomal protein transmembrane 4 beta	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1372	chr14	35515608	35515719	+	38	NA	5' UTR (NM_173607, exon 1 of 5)	promoter-TSS (NM_173607)	53	NM_173607	283635	Hs.446357	NM_173607	ENSG00000151327	FAM177A1	C14orf24	family with sequence similarity 177, member A1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2177	chr19	41903187	41903236	+	38	NA	exon (NM_020158, exon 1 of 6)	promoter-TSS (NM_001164783)	45	NM_020158	56915	Hs.283741	NM_020158	ENSG00000077348	EXOSC5	RRP41B|RRP46|Rrp46p|hRrp46p|p12B	exosome component 5	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3991	chr7	23338965	23339014	+	38	NA	exon (NM_138446, exon 1 of 4)	promoter-TSS (NM_138446)	49	NM_138446	115416	Hs.87385	NM_138446		MALSU1	C7orf30|mtRsfA	mitochondrial assembly of ribosomal large subunit 1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_321	chr1	155278323	155278372	+	38	NA	Intergenic	promoter-TSS (NM_001242825)	-192	NM_001242824	2224	Hs.335918	NM_002004	ENSG00000160752	FDPS	FPPS|FPS	farnesyl diphosphate synthase	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1143	chr12	82792713	82792762	+	38	NA	exon (NM_032230, exon 4 of 12)	exon (NM_032230, exon 4 of 12)	-40153	NR_033192	29080	Hs.582627	NM_014167	ENSG00000133773	CCDC59	BR22|HSPC128|TAP26	coiled-coil domain containing 59	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4671	chrX	114869266	114869315	+	38	NA	exon (NM_005032, exon 7 of 16)	exon (NM_005032, exon 7 of 16)	41471	NM_001282338	5358	Hs.496622	NM_005032	ENSG00000102024	PLS3	BMND18|T-plastin	plastin 3	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_754	chr11	60690016	60690065	+	38	NA	3' UTR (NM_024092, exon 4 of 4)	3' UTR (NM_024092, exon 4 of 4)	-1873	NM_178031	54972	Hs.118552	NM_017870	ENSG00000006118	TMEM132A	GBP|HSPA5BP1	transmembrane protein 132A	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3623	chr5	139903677	139903805	+	38	NA	exon (NM_017747, exon 25 of 34)	exon (NM_017747, exon 25 of 34)	-23510	NM_003732	8637	Hs.594084	NM_003732	ENSG00000243056	EIF4EBP3	4E-BP3|4EBP3	eukaryotic translation initiation factor 4E binding protein 3	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_289	chr1	155196907	155196956	+	38	NA	intron (NR_002188, intron 1 of 12)	L2c|LINE|L2	394	NR_002188	2630	Hs.719930	NR_002188	ENSG00000160766	GBAP1	GBAP	glucosidase, beta, acid pseudogene 1	pseudo
4E1-PMA-01_S10b_sorted_fstrand_peak_4132	chr7	123389505	123389554	+	38	NA	Intergenic	promoter-TSS (NM_003941)	-404	NM_003941	8976	Hs.143728	NM_003941	ENSG00000106299	WASL	N-WASP|NWASP|WASPB	Wiskott-Aldrich syndrome-like	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1124	chr12	58220844	58220893	+	38	NA	exon (NM_005730, exon 4 of 8)	exon (NM_005730, exon 4 of 8)	-2393	NR_029847	407016		NR_029847	ENSG00000207789	MIR26A2	MIRN26A2|mir-26a-2	microRNA 26a-2	ncRNA
4E1-PMA-01_S10b_sorted_fstrand_peak_379	chr1	200821716	200821825	+	38	NA	exon (NM_001297708, exon 12 of 17)	exon (NM_001297708, exon 12 of 17)	-20313	NM_005298	2848	Hs.534316	NM_005298	ENSG00000170128	GPR25	-	G protein-coupled receptor 25	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1301	chr14	35402701	35402750	+	38	NA	Intergenic--11698	HY3|scRNA|scRNA	-6403	NR_002937	280655	Hs.639271	NR_002937		IGBP1P1	C14orf19	immunoglobulin (CD79A) binding protein 1 pseudogene 1	pseudo
4E1-PMA-01_S10b_sorted_fstrand_peak_1579	chr15	75628412	75628461	+	38	NA	5' UTR (NM_001284379, exon 1 of 6)	promoter-TSS (NM_001284379)	11	NM_001284379	54939	Hs.351327	NM_017828	ENSG00000140365	COMMD4	-	COMM domain containing 4	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1626	chr16	1794746	1794803	+	38	NA	intron (NM_015133, intron 5 of 31)	intron (NM_015133, intron 5 of 31)	9788	NR_036138	100423012		NR_036138	ENSG00000265820	MIR3177	mir-3177	microRNA 3177	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_3910	chr7	134127237	134127286	+	37	NA	3' UTR (NM_001628, exon 10 of 10)	3' UTR (NM_001628, exon 10 of 10)	16627	NM_001628	231	Hs.521212	NM_001628	ENSG00000085662	AKR1B1	ADR|ALDR1|ALR2|AR	aldo-keto reductase family 1, member B1 (aldose reductase)	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_739	chr11	33163410	33163459	+	37	NA	exon (NM_001326, exon 2 of 21)	exon (NM_001326, exon 2 of 21)	19603	NM_001326	1479	Hs.44402	NM_001326	ENSG00000176102	CSTF3	CSTF-77	cleavage stimulation factor, 3' pre-RNA, subunit 3	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_3299	chr4	54243845	54243894	+	37	NA	5' UTR (NM_001134937, exon 1 of 18)	promoter-TSS (NM_001134937)	49	NM_001134938	81608	Hs.555109	NM_030917	ENSG00000145216	FIP1L1	FIP1|Rhe|hFip1	factor interacting with PAPOLA and CPSF1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1277	chr14	21852072	21852133	+	37	NA	5' UTR (NM_007192, exon 1 of 26)	5' UTR (NM_007192, exon 1 of 26)	323	NM_007192	11198	Hs.213724	NM_007192	ENSG00000092201	SUPT16H	CDC68|FACTP140|SPT16|SPT16/CDC68	SPT16 homolog, facilitates chromatin remodeling subunit	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3250	chr5	64458353	64458402	+	37	NA	intron (NM_197941, intron 24 of 24)	MIRb|SINE|MIR	319327	NM_197941	11174	Hs.482291	NM_197941	ENSG00000049192	ADAMTS6	ADAM-TS 6|ADAM-TS6|ADAMTS-6	ADAM metallopeptidase with thrombospondin type 1 motif 6	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1991	chr18	21166382	21166431	+	37	NA	5' UTR (NM_000271, exon 1 of 25)	5' UTR (NM_000271, exon 1 of 25)	175	NM_000271	4864	Hs.464779	NM_000271	ENSG00000141458	NPC1	NPC	Niemann-Pick disease, type C1	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1696	chr16	30783455	30783510	+	37	NA	exon (NM_001207033, exon 19 of 20)	exon (NM_001207033, exon 19 of 20)	9872	NM_001286572	9810	Hs.65238	NM_014771	ENSG00000103549	RNF40	BRE1B|RBP95|STARING	ring finger protein 40, E3 ubiquitin protein ligase	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3183	chr5	16781798	16781879	+	37	NA	exon (NM_012334, exon 6 of 41)	exon (NM_012334, exon 6 of 41)	154547	NM_012334	4651	Hs.481720	NM_012334	ENSG00000145555	MYO10	-	myosin X	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_1414	chr14	64855078	64855172	+	37	NA	5' UTR (NM_005956, exon 1 of 28)	5' UTR (NM_005956, exon 1 of 28)	366	NM_005956	4522	Hs.652308	NM_005956	ENSG00000100714	MTHFD1	MTHFC|MTHFD	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_4345	chr9	138773511	138773560	+	37	NA	exon (NM_015447, exon 3 of 17)	exon (NM_015447, exon 3 of 17)	25470	NM_015447	157922	Hs.522493	NM_015447	ENSG00000130559	CAMSAP1	PRO2405|bA100C15.1	calmodulin regulated spectrin-associated protein 1	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_1184	chr13	23932531	23932580	+	37	NA	exon (NM_001278055, exon 5 of 8)	exon (NM_001278055, exon 5 of 8)	17127	NM_001278055	26278	Hs.159492	NM_014363	ENSG00000151835	SACS	ARSACS|DNAJC29|PPP1R138|SPAX6	sacsin molecular chaperone	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_2967	chr22	40745883	40745932	+	37	NA	exon (NM_000026, exon 2 of 13)	exon (NM_000026, exon 2 of 13)	3403	NM_000026	158	Hs.75527	NM_000026	ENSG00000239900	ADSL	AMPS|ASASE|ASL	adenylosuccinate lyase	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_208	chr1	101361681	101361735	+	37	NA	5' UTR (NM_001144884, exon 1 of 12)	promoter-TSS (NM_001033025)	74	NM_133496	148867	Hs.533903	NM_133496	ENSG00000162695	SLC30A7	ZNT7|ZnT-7|ZnTL2	solute carrier family 30 (zinc transporter), member 7	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_2544	chr20	1373646	1373716	+	37	NA	5' UTR (NM_001199786, exon 1 of 4)	promoter-TSS (NR_106929)	-76	NR_106929	102465524		NR_106929	ENSG00000276741	MIR6869	hsa-mir-6869	microRNA 6869	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_2922	chr3	129158734	129158783	+	37	NA	5' UTR (NM_003925, exon 1 of 8)	promoter-TSS (NM_052985)	-121	NM_052989	55764	Hs.655284	NM_018262	ENSG00000163913	IFT122	CED|CED1|SPG|WDR10|WDR10p|WDR140	intraflagellar transport 122	protein-coding
4E1-PMA-01_S10b_sorted_fstrand_peak_4026	chr7	56019594	56019661	+	37	NA	intron (NM_015969, intron 1 of 2)	promoter-TSS (NM_015969)	16	NM_015969	51373	Hs.44298	NM_015969		MRPS17	HSPC011|MRP-S17|RPMS17|S17mt	mitochondrial ribosomal protein S17	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3589	chr6	88411883	88411955	+	37	NA	5' UTR (NM_018064, exon 1 of 5)	promoter-TSS (NM_018064)	66	NM_018064	55122	Hs.485915	NM_018064	ENSG00000135334	AKIRIN2	C6orf166|FBI1|dJ486L4.2	akirin 2	protein-coding
4E1-PMA-01_S10b_sorted_rstrand_peak_3018	chr4	10076574	10076623	+	37	NA	3' UTR (NM_005112, exon 12 of 12)	3' UTR (NM_005112, exon 12 of 12)	3718	NR_036090	100423011		NR_036090	ENSG00000264931	MIR3138	mir-3138	microRNA 3138	ncRNA
4E1-PMA-01_S10b_sorted_rstrand_peak_2121	chr19	15378252	15378301	+	37	NA	exon (NM_014299, exon 4 of 12)	exon (NM_014299, exon 4 of 12)	12986	NM_058243	23476	Hs.187763	NM_014299	ENSG00000141867	BRD4	CAP|HUNK1|HUNKI|MCAP	bromodomain containing 4	protein-coding
